,user_id,data
530,54,"package com.dbarr.cjar.CodeJam2018;

import java.io.BufferedReader;
import java.io.InputStreamReader;
import java.util.ArrayList;
import java.util.List;
import java.util.Scanner;

/**
 * Created on 4/7/18.
 */
public class Solution {
    public static void main(String[] args) {
        Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));
        int t = in.nextInt(); // Scanner has functions to read ints, longs, strings, chars, etc.
        for (int i = 1; i <= t; ++i) {
            int shield = in.nextInt();
            String sequence = in.next();
            List<String> list = createSequenceList(sequence);
            if (shield < getShotCount(list)) {
                printCase(i, ""IMPOSSIBLE"");
            } else {
                int monsterDamage = calculateDamageDone(list);
                int swaps = 0;
                List<Integer> chargeIndexes = createListOfIndexes(list, ""C"");
                while (monsterDamage > shield) {
                    int chargeIndex = chargeIndexes.get(chargeIndexes.size() - 1);
                    if (chargeIndex == list.size() - 1) {
                        chargeIndexes.remove(chargeIndexes.size() - 1);
                        list.remove(list.size() - 1);
                    } else {
                        for (int j = chargeIndex; j < list.size(); j++) {
                            if (j == list.size() - 1) {
                                swaps += j - chargeIndex;
                                list = swap(list, chargeIndex, j);
                                list.remove(list.size() - 1);
                                chargeIndexes.remove(chargeIndexes.size() - 1);
                            } else if (list.get(j).matches(""S"")) {
                                swaps += j - chargeIndex;
                                list = swap(list, chargeIndex, j);
                                chargeIndexes.set(chargeIndexes.size() - 1, j);
                                break;
                            }
                        }
                    }

                    monsterDamage = calculateDamageDone(list);
                }
                printCase(i, String.valueOf(swaps));
            }
        }
    }

    private static void printCase(int number, String answer) {
        System.out.println(String.format(""Case #%d: %s"", number, answer));
    }

    private static List<Integer> createListOfIndexes(List<String> list, String value) {
        List<Integer> indexes = new ArrayList<>();
        for (int i = 0; i < list.size(); i++) {
            if (list.get(i).matches(value)) {
                indexes.add(i);
            }
        }
        return indexes;
    }

    public static List<String> swap(List<String> list, int first, int second) {
        String temp = list.get(first);
        list.set(first, list.get(second));
        list.set(second, temp);
        return list;
    }

    public static List<String> createSequenceList(String sequence) {
        List<String> list = new ArrayList<>();
        for (int i = 0; i < sequence.length(); i++) {
            list.add(String.valueOf(sequence.charAt(i)));
        }
        return list;
    }

    public static int calculateDamageDone(List<String> list) {
        int damageDown = 0;
        int powerLevel = 1;
        for (String temp : list) {
            if (temp.matches(""S"")) {
                damageDown += powerLevel;
            } else {
                powerLevel *= 2;
            }
        }
        return damageDown;
    }

    public static int getShotCount(List<String> list) {
        int count = 0;
        for (String temp : list) {
            if (temp.matches(""S"")) {
                count++;
            }
        }
        return count;
    }
}"
851,88,"import java.util.*;
import java.io.*;
public class Solution {
    public static void main(String[] args) {
        Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));
        int t = in.nextInt();  // Scanner has functions to read ints, longs, strings, chars, etc.
        System.err.println(""ntests: "" + t);
        for (int i = 1; i <= t; ++i) {
            int a = in.nextInt();
            System.err.println(""a: "" + a);
            HashSet<List<Integer>> reqPoint = new HashSet<List<Integer>>();
            if (a == 20) {
                for (int row = 500; row < 505; row++)
                    for (int column = 500; column < 504; column++)
                        reqPoint.add(Arrays.asList(new Integer[]{row, column}));
            } else if (a == 200) { // if a == 200
                for (int row = 500; row < 517; row++)
                    for (int column = 500; column < 512; column++)
                        reqPoint.add(Arrays.asList(new Integer[]{row, column}));
            } else if (a == 10) {
                for (int row = 500; row < 504; row++)
                    for (int column = 500; column < 503; column++)
                        reqPoint.add(Arrays.asList(new Integer[]{row, column}));
            }
            while (!reqPoint.isEmpty()) {
                List<Integer> point = reqPoint.iterator().next();
                System.err.println(""err is: "" + point.toString());
                List<Integer> closest = getClosestPair(point);
                System.out.println(Integer.toString(closest.get(0)) + "" "" + closest.get(1));
                int x = in.nextInt();
                int y = in.nextInt();
                if (x == 0 && y == 0 || x == -1)
                    break;
                List<Integer> pair = Arrays.asList(new Integer[]{x, y});
                System.err.println(""val is: "" + pair.toString());
                if (reqPoint.contains(pair))
                    reqPoint.remove(pair);
            }
            in.nextInt();
            in.nextInt();
        }
    }

    public static List<Integer> getClosestPair(List<Integer> pair) {
        int x = Math.max(pair.get(0), 501);
        x = Math.min(x, 504);
        int y = Math.max(pair.get(1), 501);
        y = Math.min(y, 503);
        return Arrays.asList(new Integer[]{x, y});
    }
}"
301,32,"import java.io.*;
import java.util.ArrayList;
import java.util.Scanner;

public class Solution {

    static int TroubleSort(ArrayList<Integer> liste)
    {
        int round = 0;
        boolean done = false;
        while(!done)
        {
            round++;
            done = true;
            for(int i = 0; i < liste.size()-2;i++)
            {
                if(liste.get(i)>liste.get(i+2))
                {
                    done = false;
                    Integer temp = liste.get(i);
                    liste.set(i,liste.get(i+2));
                    liste.set(i+2,temp);
                }
            }
        }
        return round-1;
    }


    static boolean okTrouble(ArrayList<Integer> l)
    {
        boolean ok = true;
        for(int i = 0; i < l.size()-1;i++)
        {
            if(l.get(i)>l.get(i+1))
                ok=false;
        }
        return ok;
    }

    static ArrayList<Integer> intergerToList(int size,Long value)
    {
        String temp = Long.toString(value);
        ArrayList<Integer> l = new ArrayList<>();
        for(int i = 0;i<size;i++)
            l.add(i,temp.charAt(i)-'0');
        return l;
    }

    public static void main(String[] args)
    {
        ArrayList<Integer>list;
        Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));
        int t = in.nextInt();
        for (int i = 1; i <= t; ++i) {
            int size = in.nextInt();
            list = new ArrayList<>();
            for(int j = 1; j <= size;++j)
                list.add(in.nextInt());
            int round = TroubleSort(list);
            if(okTrouble(list))
            {
                System.out.println(""Case #""+i+"": OK"");
            }
            else
            {
                System.out.println(""Case #""+i+"": ""+round);
            }
        }
    }

}
"
830,86,"import java.io.BufferedReader;
import java.io.InputStreamReader;
import java.util.HashMap;
import java.util.Map;
import java.util.StringTokenizer;
import java.util.stream.IntStream;

public class Solution {
    static BufferedReader inputStream = new BufferedReader(new InputStreamReader(System.in));
    static StringTokenizer tokenizer = new StringTokenizer("""");

    public static void main(String[] args) {
        int n = nextInt();
        Solution solution = new Solution();

        IntStream.range(1, n + 1)
                .forEach(solution::solve);
    }

    public void solve(int c) {
        int n = nextInt();

        int[] arr = new int[n];
        for (int i = 0; i < n; i++) {
            arr[i] = nextInt();
        }

        arr = sort(arr);

        for (int i = 0; i < arr.length - 1; i++) {
            if (arr[i] > arr[i + 1]) {
                System.out.println(""Case #"" + c + "": "" + i);
                return;
            }
        }
        System.out.println(""Case #"" + c + "": OK"");
    }

    int[] sort(int[] list) {
        boolean done = false;
        int start = 0;
        int l = 0;
        Map<Integer, Integer> pos = new HashMap<>();
        while (!done) {
            Map<Integer, Integer> newPos = new HashMap<>();
            done = true;
            for (int i = start; i < list.length - 2; i++) {
                i = Math.max(pos.getOrDefault(i, i), i);
                if (list[i] > list[i + 2]) {
                    int buf = list[i];
                    list[i] = list[i + 2];
                    list[i + 2] = buf;
                    if (done) {
                        start = Math.max(start, i - 2);
                        done = false;
                    }
                }
                l = i;
                newPos.put(l, i - 2);
            }
            pos = newPos;
        }
        return list;
    }

    static int nextInt() {
        try {
            if (!tokenizer.hasMoreTokens()) {
                tokenizer = new StringTokenizer(inputStream.readLine());
            }
        } catch (Exception e) {
            //do nothing
        }
        return Integer.valueOf(tokenizer.nextToken());
    }
}
"
516,53,"import java.util.*;

public class Solution {
	static boolean[][] playingboard = new boolean[1000][1000];
	static final int startx = 1;
	static int startval;

	public static void main(String[] args) {
		Scanner sc = new Scanner(System.in);
		int T = Integer.parseInt(sc.nextLine());
		for (int i = 0; i < T; i++) {
			int A = Integer.parseInt(sc.nextLine());
			clearBoard();
			startval = A;
			solve(sc);
		}
	}

	public static void solve(Scanner sc) {
		int x = startx;

		int lenx = startval / 6 + 1;

		while (lenx > 0) {
			lenx -= 3;
			try{
				fillSquare(x, 1, sc);
				fillSquare(x, 4, sc);
			} catch (ArithmeticException e){
				break;
			}
			if (lenx < 3)
				x += lenx;
			else
				x += 3;
		}
	}

	public static void fillSquare(int x, int y, Scanner sc) {
		while (!checkSquare(x, y)) {
			System.out.println((x + 1) + "" "" + (y + 1));
			StringTokenizer st = new StringTokenizer(sc.nextLine());
			int fillx = Integer.parseInt(st.nextToken()) - 1;
			int filly = Integer.parseInt(st.nextToken()) - 1;
			if(fillx == -1){
				throw new ArithmeticException();
			}
			playingboard[fillx][filly] = true;
		}
	}

	public static boolean checkSquare(int x, int y) {
		return playingboard[x][y] && playingboard[x + 1][y] && playingboard[x - 1][y] && playingboard[x][y + 1]
				&& playingboard[x + 1][y + 1] && playingboard[x - 1][y + 1] && playingboard[x][y - 1]
				&& playingboard[x + 1][y - 1] && playingboard[x - 1][y - 1];
	}

	public static void clearBoard() {
		playingboard = new boolean[1000][1000];
	}
}
"
202,21,"public class Solution{
    public static void main(String[] args){
        
    }
}"
36,3,"import java.io.*;
import java.util.*;
import java.math.BigInteger;
import java.util.Map.Entry;

import static java.lang.Math.*;

public class Solution extends PrintWriter {

    int inf = 1000;

    int solve(long dmg, int n, boolean[] c) {

        // SCCSSC
        // SCSCSC

        long cur = 0;
        long pwr = 1;

        int cnt = 0;

        for (int i = 0; i < n; i++) {
            if (c[i]) {
                pwr *= 2L;
            } else {
                ++cnt;
                cur += pwr;
            }
        }

        if (cnt > dmg) {
            return inf;
        }

        int ans = 0;

        while (cur > dmg) {
            int id = 0;

            for (int i = 1; i < n; i++) {
                if (c[i - 1] && !c[i]) {
                    id = i;
                }
            }

            pwr = 1;

            for (int i = 0; i < id; i++) {
                if (c[i]) {
                    pwr *= 2L;
                }
            }

            c[id - 1] = false;
            c[id] = true;
            cur -= pwr / 2;
            ++ans;
        }

        return ans;
    }

    void run() {
        int t = nextInt();

        for (int q = 1; q <= t; q++) {

            int d = nextInt();
            String s = next();
            int n = s.length();
            boolean[] c = new boolean[n];

            for (int i = 0; i < n; i++) {
                c[i] = s.charAt(i) == 'C';
            }

            int ans = solve(d, n, c);

            if (ans < inf) {
                printf(Locale.ENGLISH, ""Case #%d: %d%n"", q, ans);
            } else {
                printf(Locale.ENGLISH, ""Case #%d: %s%n"", q, ""IMPOSSIBLE"");
            }
        }

    }

    String next() {
        while (!tokenizer.hasMoreTokens())
            tokenizer = new StringTokenizer(nextLine());
        return tokenizer.nextToken();
    }

    boolean hasNext() {
        while (!tokenizer.hasMoreTokens()) {
            String line = nextLine();
            if (line == null) {
                return false;
            }
            tokenizer = new StringTokenizer(line);
        }
        return true;
    }

    int[] nextArray(int n) {
        int[] array = new int[n];
        for (int i = 0; i < n; i++) {
            array[i] = nextInt();
        }
        return array;
    }

    int nextInt() {
        return Integer.parseInt(next());
    }

    long nextLong() {
        return Long.parseLong(next());
    }

    double nextDouble() {
        return Double.parseDouble(next());
    }

    String nextLine() {
        try {
            return reader.readLine();
        } catch (IOException err) {
            return null;
        }
    }

    public Solution(OutputStream outputStream) {
        super(outputStream);
    }

    static BufferedReader reader;
    static StringTokenizer tokenizer = new StringTokenizer("""");
    static Random rnd = new Random();

    public static void main(String[] args) throws IOException {
        reader = new BufferedReader(new InputStreamReader(System.in));
        Solution solution = new Solution(System.out);
        solution.run();
        solution.close();
        reader.close();
    }
}
"
229,24,"import sun.plugin.dom.exception.InvalidStateException;

import java.io.BufferedReader;
import java.io.InputStreamReader;
import java.util.Scanner;

public class Solution {
    static Scanner in;

    public static void main(String[] args) {
//        try {
//            in = new Scanner(new File(""C:\\Users\\Jonathan\\Desktop\\Projecten\\Java\\Codejam\\files\\in.txt""));
//        } catch (FileNotFoundException e) {
//            e.printStackTrace();
//        }
        in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));
        int t = Integer.parseInt(in.nextLine()); // Scanner has functions to read ints, longs, strings, chars, etc.
        for (int i = 1; i <= t; ++i) {
            solve();
            System.out.flush();
        }
    }

    public static void solve() {
        int A = Integer.parseInt(in.nextLine());
        int Ax;
        int Ay;
        if(A == 20){
            Ax = 5;
            Ay = 4;
        }else if(A == 200){
            Ax = 20;
            Ay = 10;
        }else{
            throw new IllegalArgumentException();
        }

        boolean[][] field = new boolean[30][30]; //Should be big enough
        int CURNy = 1; //Last column that's done
        int CURNx = 1;


        while(CURNx <= Ax && CURNy <= Ay){
            System.out.println((CURNx + (CURNx == Ax ? 0 : 1)) + "" "" + (CURNy + (CURNy == Ay ? 0 : 1)));
            System.out.flush();
            String next = in.nextLine();

            int RESx = Integer.parseInt(next.split("" "")[0]);
            int RESy= Integer.parseInt(next.split("" "")[1]);

            //Checks
            if(RESx == 0 && RESy == 0) return;
            if(RESx == -1 && RESy == -1){
                System.exit(-1);
                return;
            }

            field[RESx][RESy] = true;

            //If we got the right square
            if(RESx == CURNx && RESy == CURNy){
                while(field[CURNx][CURNy]){
                    CURNx++;
                    if(CURNx > Ax){
                        CURNy++;
                        CURNx = 1;
                    }
                }
            }
        }

        throw new InvalidStateException(""The judge failed us!"");
    }

    /* B
    public static String solve() {
        int N = Integer.parseInt(in.nextLine());
        Integer[] L = Arrays.stream(in.nextLine().split("" "")).map(Integer::parseInt).<Integer>toArray(Integer[]::new);

        int[] L1 = new int[(L.length / 2) + (L.length % 2)];
        int[] L2 = new int[(L.length / 2)];

        int j = 0;
        for (int i = 0; i < L.length; i += 2) {
            L1[j] = L[i];
            j++;
        }
        j = 0;
        for (int i = 1; i < L.length; i += 2) {
            L2[j] = L[i];
            j++;
        }

        //Sort
        Arrays.sort(L1);
        Arrays.sort(L2);

        //Is sorted?
        for (int i = 0; i < L1.length; i ++) {
            L[i * 2] = L1[i];
        }
        for (int i = 0; i < L2.length; i ++) {
            L[(i * 2) + 1] = L2[i];
        }
        for (int i = 0; i < L.length - 1; i++) {
            if (L[i] > L[i + 1]) return """" + i;
        }
        return ""OK"";
    }
    */

    /* A
    private static String solve(String line) {
        int D = Integer.parseInt(line.split("" "")[0]);
        char[] P = line.split("" "")[1].toCharArray();

        int count = 0;
        //Ignore i == 0
        if(countDamage(P) <= D) return count + """";
        for (int i = P.length - 1; i > 0; i--){
            if(P[i] == P[i-1]) continue;
            if(P[i] == 'C') continue;
            P[i] = 'C';
            P[i-1] = 'S';
            i = P.length;
            count++;
            if(countDamage(P) <= D) return count + """";
        }

        return ""IMPOSSIBLE"";
    }

    public static int countDamage(char[] P){
        int cur = 1;
        int total = 0;
        for(char c : P){
            if(c == 'C') cur *= 2;
            if(c == 'S') total += cur;
        }
        return total;
    }*/
}
"
733,75,"
import java.io.*;
import java.util.*;
public class Solution {

	static void troubleSort(int[] arr){
		boolean done=false;
		int tmp;
		while(!done){
			done =true;
			for (int i=0;i<arr.length-2 ;i++ ) {
				if(arr[i]>arr[i+2]){
					tmp=arr[i];
					arr[i]=arr[i+2];
					arr[i+2]=tmp;
					done=false;
				}
			}
		}

	}

    public static void main(String args[] ) throws Exception {
    	BufferedReader br=new BufferedReader(new InputStreamReader(System.in));
    	int tc=Integer.parseInt(br.readLine());
    	int i;
    	for(int cs=1;cs<=tc;cs++){

    		int n=Integer.parseInt(br.readLine());
    		int arr[]=new int[n];
    		i=0;
    		for(String s : br.readLine().split("" "")){
    			arr[i++]=Integer.parseInt(s);
    		}

    		troubleSort(arr);
    		for(i=0;i<n-1;i++){
    			if(arr[i+1]<arr[i]){
    				break;
    			}
    		}
    		if(i==n-1){
    			System.out.println(""Case #""+cs+"": OK"");
    		}
    		else{
    			System.out.println(""Case #""+cs+"": ""+i);	
    		}
    	}
        
   }
}
"
133,13,"import java.util.*;
import java.io.*;
class Solution {

    public static int calc(String s) {
        int r = 0;
        int l = 1;
        for (char c : s.toCharArray()) {
        if (c=='C') l*=2; else r+=l;
        }

    return r;
    }

    public static String swap(String f,int ind)
    {
        char c=f.charAt(ind);
        char c2=f.charAt(ind+1);
        StringBuilder R=new StringBuilder(f);
        R.setCharAt(ind,c2);
        R.setCharAt(ind+1,c);
        return R.toString();
    }

    public static void main(String[] args) {
        Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));


        int n = in.nextInt();
        for (int i = 1; i <= n; ++i) {
            int answer=0;
            int d = in.nextInt();
            String p = in.next();

            int tot=calc(p);

            while (tot>d)
            {
                int index=p.indexOf(""CS"");
                if (index<0) { answer=-1; break;}
                p=swap(p,index);
                answer++;
                tot=calc(p);
            }

            System.out.println(""Case #"" + i + "": "" + ((answer==-1)?""IMPOSSIBLE"":answer));
        }
    }
}"
